transaction_id,account_id,amount,merchant_category,location,hour_of_day,day_of_week,timestamp,is_fraud
23952,8,340.93,Travel,"Lyon, France",10,6,2025-12-07 10:15:00,0
21022,10,173.55,Fuel,"Paris, France",17,2,2025-12-03 17:49:00,0
16769,4,155.56,Clothing,"Marseille, France",10,0,2025-12-01 10:45:00,0
20844,10,225.42,Health,"Lyon, France",13,6,2025-12-07 13:46:00,0
17929,13,301.63,Utilities,"Marseille, France",15,3,2025-12-04 15:21:00,0
33778,13,391.4,Entertainment,"Nice, France",15,2,2025-12-03 15:50:00,0
28894,6,345.32,Groceries,"Marseille, France",17,5,2025-12-06 17:43:00,0
21661,12,348.77,Groceries,"Paris, France",12,5,2025-12-06 12:59:00,0
11501,7,254.59,Utilities,"Nice, France",15,2,2025-12-03 15:50:00,0
24785,12,321.28,Electronics,"Nice, France",8,5,2025-12-06 08:33:00,0
15616,6,412.37,Groceries,"Marseille, France",19,2,2025-12-03 19:33:00,0
35525,13,256.87,Electronics,"Marseille, France",21,3,2025-12-04 21:19:00,0
10865,13,463.01,Clothing,"Paris, France",12,3,2025-12-04 12:23:00,0
8321,2,341.21,Health,Online,21,6,2025-12-07 21:03:00,0
22555,11,229.85,Utilities,"Nice, France",22,0,2025-12-08 22:55:00,0
34746,3,254.61,Electronics,"Lyon, France",20,6,2025-12-07 20:11:00,0
3904,13,310.52,Food & Beverage,Online,9,6,2025-12-07 09:19:00,0
38274,10,429.46,Entertainment,Online,19,4,2025-12-05 19:46:00,0
17686,3,7.2,Health,"Nice, France",16,3,2025-12-04 16:28:00,0
26522,11,15.81,Groceries,"Marseille, France",13,6,2025-12-07 13:06:00,0
18432,6,262.43,Utilities,"Marseille, France",21,1,2025-12-02 21:30:00,0
34361,13,171.2,Food & Beverage,Online,11,5,2025-12-06 11:37:00,0
24472,1,207.98,Fuel,"Marseille, France",19,0,2025-12-01 19:11:00,0
24489,9,327.15,Health,"Toulouse, France",18,2,2025-12-03 18:47:00,0
3413,10,228.19,Fuel,"Nice, France",22,4,2025-12-05 22:56:00,0
556,10,18.96,Clothing,"Nice, France",17,2,2025-12-03 17:36:00,0
6620,5,453.62,Electronics,"Nice, France",10,5,2025-12-06 10:25:00,0
38317,5,188.28,Travel,"Paris, France",14,2,2025-12-03 14:26:00,0
39956,1,269.82,Health,"Lyon, France",12,4,2025-12-05 12:53:00,0
40695,6,2608.48,Utilities,"London, UK",5,3,2025-12-04 05:15:00,1
6962,6,47.47,Entertainment,"Marseille, France",17,5,2025-12-06 17:06:00,0
10693,6,495.62,Utilities,Online,11,6,2025-12-07 11:51:00,0
11415,9,327.64,Fuel,"Paris, France",8,2,2025-12-03 08:58:00,0
21919,1,275.22,Food & Beverage,"Nice, France",8,0,2025-12-08 08:24:00,0
31330,9,325.02,Groceries,Online,10,5,2025-12-06 10:06:00,0
28171,12,381.25,Utilities,Online,14,4,2025-12-05 14:10:00,0
37724,1,419.5,Fuel,"Marseille, France",20,3,2025-12-04 20:41:00,0
22001,11,389.34,Travel,"Nice, France",12,5,2025-12-06 12:30:00,0
23536,10,136.53,Entertainment,"Marseille, France",17,4,2025-12-05 17:19:00,0
35587,1,272.92,Electronics,"Paris, France",13,1,2025-12-02 13:32:00,0
11521,12,246.68,Entertainment,"Paris, France",11,0,2025-12-08 11:50:00,0
6320,12,193.04,Groceries,"Marseille, France",13,6,2025-12-07 13:35:00,0
32570,6,185.82,Clothing,"Nice, France",9,2,2025-12-03 09:42:00,0
34268,1,17.9,Clothing,"Toulouse, France",13,2,2025-12-03 13:36:00,0
14882,12,353.61,Groceries,"Marseille, France",22,3,2025-12-04 22:42:00,0
37447,5,435.87,Health,"Marseille, France",16,0,2025-12-01 16:45:00,0
4812,1,496.41,Utilities,"Paris, France",21,4,2025-12-05 21:55:00,0
14734,1,488.32,Food & Beverage,"Marseille, France",11,3,2025-12-04 11:19:00,0
39292,8,190.13,Utilities,"Toulouse, France",10,0,2025-12-08 10:57:00,0
3437,4,496.81,Food & Beverage,"Lyon, France",21,5,2025-12-06 21:03:00,0
4114,7,416.05,Groceries,"Paris, France",11,6,2025-12-07 11:12:00,0
24354,12,499.68,Entertainment,"Toulouse, France",9,0,2025-12-01 09:08:00,0
2161,13,211.46,Food & Beverage,Online,16,1,2025-12-02 16:45:00,0
38136,11,325.23,Groceries,"Toulouse, France",17,0,2025-12-08 17:53:00,0
13730,4,73.64,Entertainment,Online,21,3,2025-12-04 21:36:00,0
14426,4,109.93,Health,"Paris, France",14,4,2025-12-05 14:12:00,0
20002,7,88.93,Groceries,"Toulouse, France",8,0,2025-12-01 08:58:00,0
13079,8,219.96,Food & Beverage,"Paris, France",18,6,2025-12-07 18:24:00,0
5744,12,63.92,Food & Beverage,"Marseille, France",22,6,2025-12-07 22:01:00,0
22940,10,308.98,Clothing,"Toulouse, France",8,3,2025-12-04 08:31:00,0
32509,6,87.9,Electronics,"Toulouse, France",12,0,2025-12-08 12:57:00,0
41693,4,2811.08,Cryptocurrency,"Dubai, UAE",6,5,2025-12-06 06:53:00,1
8706,6,300.5,Clothing,"Marseille, France",11,4,2025-12-05 11:59:00,0
4872,12,8.93,Groceries,"Nice, France",11,5,2025-12-06 11:47:00,0
10259,10,416.73,Electronics,"Lyon, France",11,0,2025-12-01 11:51:00,0
1936,5,406.07,Fuel,"Paris, France",13,6,2025-12-07 13:55:00,0
48006,7,1185.24,Fuel,"Paris, France",0,1,2025-12-02 00:03:00,1
31302,5,86.09,Food & Beverage,Online,21,0,2025-12-08 21:56:00,0
42807,9,3132.55,Food & Beverage,"Lyon, France",0,0,2025-12-01 00:57:00,1
8427,11,332.2,Utilities,"Nice, France",19,6,2025-12-07 19:30:00,0
47772,1,1278.72,Food & Beverage,"Las Vegas, USA",5,1,2025-12-02 05:15:00,1
35098,10,109.47,Health,"Toulouse, France",17,4,2025-12-05 17:27:00,0
5260,3,320.15,Fuel,Online,14,5,2025-12-06 14:48:00,0
28604,12,470.12,Food & Beverage,"Marseille, France",21,0,2025-12-01 21:48:00,0
6538,10,355.8,Food & Beverage,"Toulouse, France",13,0,2025-12-08 13:44:00,0
43596,13,1216.1,Cryptocurrency,"Paris, France",15,6,2025-12-07 15:24:00,1
23560,8,207.21,Travel,Online,19,0,2025-12-01 19:10:00,0
35096,6,132.7,Electronics,"Paris, France",18,3,2025-12-04 18:56:00,0
9084,3,269.83,Fuel,"Marseille, France",9,3,2025-12-04 09:50:00,0
47263,8,2704.14,Health,"Dubai, UAE",14,6,2025-12-07 14:27:00,1
2836,1,441.73,Fuel,"Toulouse, France",13,5,2025-12-06 13:08:00,0
16343,4,413.35,Groceries,"Nice, France",8,0,2025-12-01 08:29:00,0
12017,11,127.19,Food & Beverage,"Paris, France",12,2,2025-12-03 12:43:00,0
2726,6,88.35,Electronics,Online,20,0,2025-12-01 20:30:00,0
1249,7,355.68,Food & Beverage,"Paris, France",9,0,2025-12-01 09:03:00,0
1073,3,307.22,Groceries,"Nice, France",10,0,2025-12-08 10:39:00,0
43313,7,1779.03,Gambling,"Las Vegas, USA",13,0,2025-12-08 13:26:00,1
3718,1,150.86,Travel,"Nice, France",9,2,2025-12-03 09:35:00,0
47233,11,1525.91,Cryptocurrency,Russia,4,0,2025-12-01 04:27:00,1
16045,5,430.53,Clothing,Online,21,1,2025-12-02 21:20:00,0
